PC1; 7.9; 3.3; 6.7; 1.8; 7.8; 1.5; 7.1; 1.9
PC2; 6.2; 2.0; 7.8; 2.9; 6.4; 1.0; 7.7; 3.6
PC3; 6.2; 2.0; 6.7; 1.8; 6.1; 3.0; 6.4; 2.6
PC4; 6.3; 3.4; 6.6; 2.6; 6.4; 1.3; 7.0; 3.0
PC5; 7.9; 1.1; 7.9; 3.5; 6.3; 3.8; 7.3; 3.6
PC6; 7.9; 3.9; 6.6; 2.2; 7.2; 3.9; 7.4; 1.3
PC7; 7.8; 3.9; 7.7; 1.9; 7.4; 3.2; 7.4; 3.7
PC8; 7.0; 2.5; 6.4; 2.0; 6.7; 2.3; 7.3; 1.2
PC9; 6.4; 3.4; 6.2; 3.9; 6.7; 2.2; 6.2; 1.8
PC10; 6.8; 3.2; 7.7; 1.9; 7.8; 3.0; 7.5; 2.8
PC11; 7.3; 1.7; 7.3; 2.7; 7.2; 2.8; 6.1; 2.5
PC12; 7.7; 3.1; 6.7; 1.1; 7.6; 3.5; 6.9; 1.0
PC13; 7.6; 3.4; 7.4; 2.2; 7.0; 3.9; 6.8; 3.2
PC14; 7.8; 3.2; 7.8; 1.8; 6.0; 1.2; 7.9; 2.5
PC15; 7.6; 1.0; 6.0; 1.4; 6.2; 3.4; 6.8; 2.9
PC16; 6.651; 1.193; 7.518; 1.034; 6.565; 1.156; 6.578; 2.524
